session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,cluster
20,870.026453,7,2,2,2,11,7595.44,7595.44,58.6,1085.0628571428572,3797.72,2531.813333333333,11,2
21,118.076068,10,1,0,0,10,7595.44,7595.44,58.6,759.544,7595.44,7595.44,10,2
22,0.051584,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
23,163.816482,7,1,0,0,7,7595.44,7595.44,58.6,1085.0628571428572,7595.44,7595.44,7,2
24,12.326561,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
25,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
26,0.027107,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
27,3268.50861,33,9,16,11,60,7595.44,7595.44,58.6,230.16484848484848,843.9377777777777,446.7905882352941,60,1
28,121.966053,7,1,0,0,7,7595.44,7595.44,58.6,1085.0628571428572,7595.44,7595.44,7,2
29,13.169747,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
30,44.781147,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,2
31,230.103453,8,2,1,1,10,7595.44,7595.44,58.6,949.43,3797.72,3797.72,10,2
32,910.62558,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,2
33,1593.861133,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
34,1.491741,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
35,185.152801,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,2
36,955.297981,25,5,10,10,45,7595.44,7595.44,58.6,303.8176,1519.088,690.4945454545455,45,0
37,21.188791,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
38,26.961887,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
39,1886.70869,32,5,7,5,44,7595.44,7595.44,58.6,237.3575,1519.088,949.43,44,0
40,1671.200692,9,2,2,2,13,7595.439999999999,7595.44,58.6,843.9377777777777,3797.7199999999993,2531.813333333333,13,0
41,389.687556,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
42,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
43,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
44,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
45,2496.059665,16,3,4,2,22,7595.44,7595.44,58.6,474.715,2531.813333333333,1519.088,22,0
46,1019.740355,6,1,0,0,6,7595.44,7595.44,58.6,1265.9066666666663,7595.44,7595.44,6,2
47,477.108622,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
48,258.277392,5,1,0,0,5,7595.44,7595.44,58.6,1519.088,7595.44,7595.44,5,2
49,486.989701,5,1,0,0,5,7595.44,7595.44,58.6,1519.088,7595.44,7595.44,5,2
50,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
51,0.060771,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
52,39.287447,5,2,1,1,7,7595.44,7595.44,58.6,1519.088,3797.72,3797.72,7,2
53,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
54,1463.866839,17,2,3,3,23,7595.44,7595.44,58.6,446.7905882352941,3797.72,1898.86,23,0
55,8.465632,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
56,31.031382,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,2
