session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
98,127.628506,6,1,1,1,8,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,3491.035,8,0.0626819215450191,0.0011457920072414,True,0.009666210086170763,False
99,154.140181,14,2,2,1,16,6982.07,6982.07,42.8,498.7192857142857,3491.035,2327.3566666666666,17,0.1038016167893302,0.0022915840144828,True,0.03134129290740058,False
100,17.571242,2,1,1,1,4,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,4,0.2276446935282093,0.0005728960036207,True,0.002486030457847913,False
101,1.499143,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,2.0011433198834268,0.0004296720027155,True,0.0013825258645454007,False
102,314.281855,4,1,0,0,4,6982.07,6982.07,42.8,1745.5175,6982.07,6982.07,4,0.0127274290143158,0.0005728960036207,True,0.015927358194340692,False
71,654.450273,6,3,5,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1163.6783333333333,11,0.0106959998166277,0.0010025680063362,True,0.017598599135443087,False
72,4.506744,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.6656690506494267,0.0004296720027155,True,0.0013904809970629128,False
73,143.799859,5,1,1,1,7,6982.07,6982.07,42.8,1396.414,6982.07,3491.035,7,0.0486787681759827,0.0010025680063362,True,0.00813910618840703,False
74,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
106,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
107,56.88496,4,3,4,0,5,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1396.414,8,0.0878966953655236,0.0007161200045258,True,0.014815545703138774,False
108,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355187794550065,False
109,108.509824,7,3,3,2,9,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1745.5175,12,0.082941798891868,0.0012890160081465,True,0.008630346298529549,False
110,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
111,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
112,4.075917,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,1.2267178158927183,0.0007161200045258,True,0.0019051882595949724,False
114,18.123737,2,1,0,0,2,6982.07,6982.07,42.8,3491.035,6982.07,6982.07,2,0.1103525172540299,0.0002864480018103,True,0.0038969460210512936,False
115,42.231543,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.0947159330645342,0.0005728960036207,True,0.0014442290000241042,False
116,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
117,13.756247,5,2,2,0,6,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,7,0.436165474493152,0.000859344005431,True,0.0015884188966463705,False
