session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage
116,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
117,13.756247,5,2,2,0,6,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,7,0.43616547449315207,0.0008593440054310541,True
118,4.472018,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.6708380869665551,0.00042967200271552705,True
87,1.0,1,1,0,1,2,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,2,2.0,0.00028644800181035137,True
88,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
89,11.081974,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.4511831556363514,0.0007161200045258785,True
90,1.805403,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,2.2155718141600516,0.0005728960036207027,True
122,467.066593,4,3,3,1,6,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1745.5175,8,0.012846133913071364,0.0008593440054310541,True
123,111.649389,5,3,4,0,6,6982.07,6982.07,42.8,1396.414,2327.3566666666666,1396.414,9,0.0537396581722449,0.0008593440054310541,True
125,1101.320658,10,5,4,2,12,6982.07,6982.07,42.8,698.207,1396.414,1396.414,16,0.01089600918027999,0.0017186880108621082,True
126,883.611504,14,4,4,1,16,6982.07,6982.07,42.8,498.7192857142857,1745.5175,1396.414,19,0.018107505309256363,0.002291584014482811,True
127,29.202042,3,2,3,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,7,0.17122090297657952,0.0007161200045258785,True
128,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
130,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
131,84.675681,6,3,4,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1396.414,10,0.08266836377731641,0.0010025680063362298,True
132,1.0,2,1,1,1,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,4,3.0,0.00042967200271552705,True
133,428.298953,16,8,11,1,17,6982.07,6982.07,42.8,436.379375,872.75875,581.8391666666666,28,0.039691901838480564,0.0024348080153879866,True
134,33.858254,19,6,7,0,20,6982.07,6982.07,42.8,367.47736842105263,1163.6783333333333,872.75875,26,0.5906979137199455,0.002864480018103514,True
103,430.235704,7,3,4,0,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1396.414,11,0.01859445863191308,0.0011457920072414055,True
104,828.869081,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.006032315735517223,0.0007161200045258785,True
105,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
137,8.17778,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.6114128773334572,0.0007161200045258785,True
138,470.969392,19,6,10,7,21,6982.07,6982.07,42.8,367.47736842105263,1163.6783333333333,634.7336363636364,36,0.044588884875983614,0.0030077040190086895,True
139,261.393918,8,3,3,0,9,6982.07,6982.07,42.8,872.75875,2327.3566666666666,1745.5175,11,0.03443079345097846,0.0012890160081465813,True
140,1.0,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,3.0,0.00042967200271552705,True
141,560.510217,10,2,3,3,12,6982.07,6982.07,42.8,698.207,3491.035,1745.5175,16,0.021409065590681283,0.0017186880108621082,True
143,32.887703,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.09121950535736716,0.00042967200271552705,True
144,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
145,403.152716,7,2,1,0,8,6982.07,6982.07,42.8,997.4385714285714,3491.035,3491.035,8,0.019843596936104976,0.0011457920072414055,True
146,337.430951,12,2,1,0,13,6982.07,6982.07,42.79999999999999,581.8391666666666,3491.035,3491.035,13,0.03852640062055244,0.001861912011767284,True
147,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
149,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
150,991.397244,19,5,8,3,21,6982.07,6982.07,42.8,367.47736842105263,1396.414,775.7855555555556,30,0.02118222551766545,0.0030077040190086895,True
119,16.913609,8,1,1,0,9,6982.07,6982.07,42.8,872.75875,6982.07,3491.035,9,0.5321158837241655,0.0012890160081465813,True
