session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
649,1.0,1,0,0,1,low,search
650,833.301715,2,0,0,2,low,search
651,1782.797834,26,11,7,62,high,other
652,933.261655,21,4,3,35,high,other
653,1.0,1,0,0,1,low,other
654,1.0,1,0,0,1,low,other
655,1.0,1,0,0,1,low,other
656,52.653517,3,1,1,7,medium,other
657,1007.436567,6,3,2,16,high,other
658,206.175334,9,5,3,25,high,search
659,39.754825,12,6,2,28,high,search
660,118.421333,12,3,2,22,high,search
661,1.0,2,1,1,6,medium,entertainment
662,506.978559,11,1,1,15,high,search
663,1.0,2,0,0,2,low,search
664,120.709209,5,0,0,5,medium,search
665,1545.130534,40,20,16,112,high,search
666,490.146697,13,6,2,29,high,other
667,962.095261,24,16,9,74,high,learning
668,12.066714,2,1,1,6,medium,learning
669,1.0,1,0,0,1,low,search
670,1215.430493,9,4,2,21,high,other
671,867.971857,2,0,0,2,low,other
672,544.568941,2,0,0,2,low,other
673,34.040689,2,0,0,2,low,other
674,1.0,1,0,0,1,low,other
675,60.308251,5,3,2,15,high,search
676,319.496849,5,1,1,9,medium,search
677,81.330253,4,0,0,4,low,search
678,765.922334,8,6,0,20,high,search
679,2.5328,3,0,0,3,low,search
680,1.0,1,0,0,1,low,other
681,17.230254,5,1,1,9,medium,search
682,1.0,1,0,0,1,low,search
683,5.463986,4,0,0,4,low,search
684,405.956571,7,3,2,17,high,other
685,1113.760635,53,26,12,129,high,search
686,621.826878,23,9,9,59,high,search
687,2091.357021,20,6,5,42,high,learning
688,1421.582951,127,35,25,247,high,entertainment
689,1.0,1,0,0,1,low,other
690,1.0,1,0,0,1,low,other
691,8877.120618,401,204,81,971,high,shopping
692,1.0,1,0,0,1,low,other
693,95.232834,2,0,0,2,low,other
694,1.0,1,0,0,1,low,other
